Chemical Storage Room,sodium hydroxide,"(1 M) 1 L, 2 x 500 mL",
Chemical Storage Room,caffeine,5 x 100 g,
Chemical Storage Room,barium chloride dihydrate,"3 x 500 g, 2 x 100 g",
Chemical Storage Room,manganese dioxide,500 g,
Chemical Storage Room,potassium chlorate,100 g,
Chemical Storage Room,phenolphthalein,2 x 500 mL,
Chemical Storage Room,lycopodium,"1 x 500 g, 1 x 100 g",
Chemical Storage Room,universal indicator,2 x 500 mL,
Chemical Storage Room,isopropyl alcohol,500 mL,
Chemical Storage Room,vinegar,1 gal,
Chemical Storage Room,acetic acid,(1 M) 3 L,
Chemical Storage Room,hydrochloric acid,"(1 M) 1 L, 2 x 500 mL",
Chemical Storage Room,zinc mossy,6 x 500 g,
Chemical Storage Room,zinc shot,7 x 500 g,
Chemical Storage Room,potassium iodide,"(0.1 M) 3 x 500 mL, 1 x 100 g",
Chemical Storage Room,glycerol,"2 x 1 L, 1 x 500 mL",
Chemical Storage Room,copper(II) chloride,5 x 500 g,
Chemical Storage Room,strontium chloride hexahydrate,100 g,
Chemical Storage Room,strontium chloride,"2 x 500g, 3 x 100g",
Chemical Storage Room,lithium chloride anhydrous,100g,
Chemical Storage Room,lithium chloride,2 x 500g,
Chemical Storage Room,sodium bicarbonate,6 kg,
Chemical Storage Room,sodium chloride,3 kg,
Chemical Storage Room,potassium chloride,4 x 500 g,
Chemical Storage Room,calcium chloride dihydrate,500 g,
Chemical Storage Room,calcium chloride,2 x 500 g,
Chemical Storage Room,calcium chloride,2 kg,
Chemical Storage Room,sodium benzoate,3 x 300 g,
Chemical Storage Room,pepsin,100 g,
Chemical Storage Room,citric acid,2 x 500 g,
Chemical Storage Room,urea,2 x 500 g,
Chemical Storage Room,sodium carbonate,500 g,
Chemical Storage Room,talc,500 g,"
"
